ccode,startyear,caseList,durationMons,VicSide3,Const,rgdpna,polity2,tpop,milper,relfrac,ethfrac,lmtnest,sos,coup,Oil,rebInt,govInt,Incomp
2,2001,al-Qaida ,15,0,1,3.67791330473357,10,12.5606373645095,7.2211050981825,0.595999956130981,0.356950104236603,3.21486783027649,0,0,0,0,1,1
42,1965,Military faction (constitutionalists),4,1,1,0.699289005655827,0,8.24433404785609,2.83321334405622,0.0950000286102295,0.0369887948036194,2.85647010803223,0,1,0,0,0,1
52,1990,Jamaat al-Muslimeen,1,2,1,2.08650858435284,9,7.10249935577465,0.693147180559945,0.772599995136261,0.558431506156921,0,0,1,1,0,0,1
70,1994,EZLN,0,1,1,2.35698127871672,4,11.4027087325112,5.16478597392351,0.201799988746643,0.305108189582825,3.47196650505066,0,0,0,0,0,1
70,1996,EPR,3,0,1,2.3089678294745,4,11.4373179074618,5.16478597392351,0.201799988746643,0.305108189582825,3.47196650505066,0,0,0,0,0,1
90,1954,Forces of Carlos Castillo Armas,0,2,1,0.696297498153045,-6,8.05801080080209,1.94591014905531,0.373600006103516,0.643684148788452,3.76352286338806,0,1,0,0,0,1
90,1963,FAR I,5,0,1,0.836114063082173,-5,8.37054761107475,2.19722457733622,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
90,1965,FAR I,119,0,1,0.867781859530762,-5,8.42683075133585,2.30258509299405,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
90,1970,FAR II,143,0,1,1.00916518785851,1,8.56522116042682,2.56494935746154,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
90,1975,EGP,83,0,1,1.14288633691625,-3,8.70334075304372,2.56494935746154,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
90,1979,ORPA,25,0,1,1.27373825966005,-5,8.81373589230022,3.04452243772342,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
90,1981,FAR I,11,0,1,1.26125004769566,-5,8.86967937473352,3.29583686600433,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
90,1982,URNG,167,1,1,1.19711154106423,-7,8.89768231345422,3.40119738166216,0.373600006103516,0.643684148788452,3.76352286338806,0,0,0,0,0,1
92,1972,Military faction (forces of Benjamin Mejia),0,2,1,-1.12300561848533,-1,8.20740183337636,2.07944154167984,0.240800023078918,0.165918707847595,2.42480278015137,0,1,0,0,0,1
92,1979,FPL,3,0,1,-1.00482435677965,-4,8.39728289474368,2.63905732961526,0.240800023078918,0.165918707847595,2.42480278015137,0,0,0,0,0,1
92,1979,ERP,11,0,1,-1.00482435677965,-4,8.39728289474368,2.63905732961526,0.240800023078918,0.165918707847595,2.42480278015137,0,0,0,0,0,1
92,1980,FMLN,139,1,1,-1.11205601639587,-2,8.41360887515967,2.77258872223978,0.240800023078918,0.165918707847595,2.42480278015137,0,0,0,0,0,1
95,1989,Military faction (forces of Moisés Giroldi) ,0,2,1,1.85011213337872,8,7.76217060713821,2.63905732961526,0.254999995231628,0.260851562023163,2.56494927406311,0,1,0,0,0,1
100,1964,FARC,57,2,1,1.14797416350325,7,9.76909864949748,4.00733318523247,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1966,ELN,4,0,1,1.1577228284206,7,9.82379478362688,3.91202300542815,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1969,ELN,23,0,1,1.24480122998644,7,9.90268723236536,3.91202300542815,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1971,FARC,15,0,1,1.31670478772159,7,9.95645943730223,3.91202300542815,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1973,ELN,11,0,1,1.39785484847036,7,10.0142683518795,3.91202300542815,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1974,FARC,431,2,1,1.42313381226063,8,10.0448568979987,3.91202300542815,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1978,M-19,19,0,1,1.53633950703025,8,10.1228640172811,4.0943445622221,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1981,M-19,69,0,1,1.59206787766609,8,10.1821036529742,4.17438726989564,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1984,ELN,269,0,1,1.59022794801579,8,10.24195779182,4.24849524204936,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1984,EPL ,4,1,1,1.59022794801579,8,10.24195779182,4.24849524204936,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1987,EPL ,39,1,1,1.64365330828655,8,10.3280360751206,4.45434729625351,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,1988,M-19,6,1,1,1.66524639883719,8,10.3462805579103,4.33073334028633,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
100,2004,EPL ,2,0,1,1.82619024460265,7,10.6541486392967,5.31320597904179,0.180000007152557,0.0601527094841003,3.64021420478821,0,0,0,0,0,1
101,1962,Military faction (navy),5,2,1,2.07640476737598,6,8.97106743873209,3.13549421592915,0.0776000022888184,0.107347011566162,3.10458660125732,0,1,1,0,0,1
101,1982,Bandera Roja,6,2,1,2.30303583016717,9,9.67658695234421,4.02535169073515,0.0776000022888184,0.107347011566162,3.10458660125732,0,0,1,0,0,1
101,1992,Military faction (forces of Hugo Chávez) ,9,2,1,2.27386629653322,8,9.91586068859927,4.31748811353631,0.0776000022888184,0.107347011566162,3.10458660125732,0,1,1,0,0,1
135,1965,MIR,4,2,1,1.52645444937716,5,9.3472286240383,4.24849524204936,0.180000007152557,0.589686512947083,3.8836236000061,0,0,0,0,0,1
135,1965,ELN,0,2,1,1.52645444937716,5,9.3472286240383,4.24849524204936,0.180000007152557,0.589686512947083,3.8836236000061,0,0,0,0,0,1
135,1982,Sendero Luminoso,208,1,1,1.69831150467395,7,9.80609520652748,5.0998664278242,0.180000007152557,0.589686512947083,3.8836236000061,0,0,0,0,0,1
135,1989,MRTA,57,0,1,1.43982838760809,7,9.95764424348808,4.70048036579242,0.180000007152557,0.589686512947083,3.8836236000061,0,0,0,0,0,1
135,2007,Sendero Luminoso,25,2,1,1.84545057839911,9,10.2570275877794,4.38202663467388,0.180000007152557,0.589686512947083,3.8836236000061,0,0,0,0,0,1
145,1952,MNR,0,2,1,1.08616288578421,-4,8.0471895621705,2.19722457733622,0.0950000286102295,0.678132951259613,3.60821151733398,0,1,0,0,0,1
145,1967,ELN,7,2,1,1.19814222681504,-4,8.27563105457801,2.99573227355399,0.0950000286102295,0.678132951259613,3.60821151733398,0,0,0,0,0,1
